price,console,title,id
186.99,PlayStation 4,Fallout 4 Game of The Year Pip-Boy Edition,2008
21.99,PlayStation 4,Fallout 4,2009
99.99,PlayStation 4,Fallout 4: Gold Bundle with Season Pass Exclusive Vault Boy Socks,2010
149.99,Xbox One,Fallout 4: Gold Bundle with Season Pass Exclusive Vault Boy Socks,2011
102.99,PlayStation 2,Fallout: Brotherhood of Steel,2012
22.99,Xbox 360,Fallout: New Vegas,2013
19.99,PlayStation 3,Fallout: New Vegas,2014
14.99,Xbox 360,Fallout: New Vegas - Ultimate Edition,2015
475.99,Xbox 360,Fallout: New Vegas Collector's Edition,2016
17.99,PlayStation 3,Fallout: New Vegas Ultimate Edition,2017
11.99,PlayStation 2,Family Feud,2018
74.99,Xbox 360,Family Feud 2012,2019
29.99,PlayStation 3,Family Game Night 4: The Game Show,2020
93.99,Xbox 360,Family Game Night 4: The Game Show,2021
34.99,PlayStation 2,Family Guy (Collector's),2022
39.99,PlayStation 3,Family Guy: Back to the Multiverse,2023
35.99,Xbox 360,Fantastic 4: Rise of the Silver Surfer,2024
8.99,PlayStation 2,Fantastic 4: Rise of the Silver Surfer,2025
21.99,PlayStation 2,Fantastic Four,2026
25.99,PlayStation 3,Fantastic Four Rise of the Silver Surfer,2027
30.99,Xbox 360,Fantastic Pets,2028
35.99,Xbox 360,Fantastic Pets,2029
33.99,Nintendo,Fantasy Life,2030
54.99,PlayStation 2,Fantavision,2031
9.99,PlayStation 2,Fantavision,2032
35.99,PlayStation 3,Far Cry 2,2033
45.99,Xbox 360,Far Cry 2,2034
18.99,PlayStation 3,Far Cry 3,2035
19.99,PlayStation 3,Far Cry 4,2036
25.99,PlayStation 4,Far Cry 4,2037
41.99,Xbox One,Far Cry 4 Complete Edition,2038
69.99,PlayStation 4,Far Cry 4 Complete Edition,2039
58.99,Xbox 360,Far Cry 4 Kyrat Edition,2040
49.99,Xbox One,Far Cry 4 Kyrat Edition,2041
149.99,PlayStation 4,Far Cry 4 Kyrat Edition,2042
99.99,Xbox One,Far Cry 5 Steelbook Gold Edition,2043
27.99,Xbox 360,Far Cry Compliation,2044
32.99,PlayStation 4,Far Cry Primal Standard Edition,2045
190.99,Xbox One,Far Cry Primal Deluxe Edition with SteelBook,2046
32.99,Xbox One,Far Cry Primal Standard Edition,2047
32.99,Xbox One,Far Cry Primal Standard Edition,2048
59.99,Xbox 360,Farming Simulator,2049
19.99,PlayStation Vita,Farming Simulator '14,2050
23.99,PlayStation 3,Farming Simulator 15,2051
22.99,Xbox 360,Farming Simulator 15,2052
31.99,Xbox One,Farming Simulator 15,2053
26.99,Xbox One,Farming Simulator 15 - Limited Edition w/ Bonus DLC Lamborghini Nitro 120 Tractor,2054
24.99,PlayStation 4,Farming Simulator 15,2055
29.99,PlayStation Vita,Farming Simulator 16,2056
37.99,Xbox One,Farming Simulator 17,2057
39.99,PlayStation 4,Farming Simulator 17,2058
39.99,PlayStation 4,Farming Simulator 17 Platinum Edition,2059
23.99,Nintendo,Farming Simulator 18,2060
37.99,PlayStation Vita,Farming Simulator 18,2061
39.99,PlayStation 4,Farpoint,2062
39.99,PlayStation 3,Fast & Furious: Showdown,2063
44.99,Xbox 360,Fast & Furious: Showdown,2064
44.99,PlayStation 2,Fast and the Furious,2065
52.99,PlayStation 2,Fatal Frame,2066
49.99,PlayStation 2,Fatal Frame 2: Crimson Butterfly,2067
27.99,PlayStation 2,Fatal Frame 2: Crimson Butterfly,2068
48.99,PlayStation 2,Fatal Frame III: The Tormented,2069
181.99,PlayStation 2,Fatal Fury Battle Archives 1,2070
24.99,PlayStation 2,Fatal Fury Battle Archives 2,2071
18.99,PlayStation 2,Fatal Fury Battle Archives Vol 1,2072
